geoid,Update,cumConfirmed,cumDeaths,date,conf_incid,death_incid
15001,2020-01-22,0,0,2020-01-22,0,0
15001,2020-01-23,0,0,2020-01-23,0,0
15001,2020-01-24,0,0,2020-01-24,0,0
15001,2020-01-25,0,0,2020-01-25,0,0
15001,2020-01-26,0,0,2020-01-26,0,0
15001,2020-01-27,0,0,2020-01-27,0,0
15001,2020-01-28,0,0,2020-01-28,0,0
15001,2020-01-29,0,0,2020-01-29,0,0
15001,2020-01-30,0,0,2020-01-30,0,0
15001,2020-01-31,0,0,2020-01-31,0,0
15001,2020-02-01,0,0,2020-02-01,0,0
15001,2020-02-02,0,0,2020-02-02,0,0
15001,2020-02-03,0,0,2020-02-03,0,0
15001,2020-02-04,0,0,2020-02-04,0,0
15001,2020-02-05,0,0,2020-02-05,0,0
15001,2020-02-06,0,0,2020-02-06,0,0
15001,2020-02-07,0,0,2020-02-07,0,0
15001,2020-02-08,0,0,2020-02-08,0,0
15001,2020-02-09,0,0,2020-02-09,0,0
15001,2020-02-10,0,0,2020-02-10,0,0
15001,2020-02-11,0,0,2020-02-11,0,0
15001,2020-02-12,0,0,2020-02-12,0,0
15001,2020-02-13,0,0,2020-02-13,0,0
15001,2020-02-14,0,0,2020-02-14,0,0
15001,2020-02-15,0,0,2020-02-15,0,0
15001,2020-02-16,0,0,2020-02-16,0,0
15001,2020-02-17,0,0,2020-02-17,0,0
15001,2020-02-18,0,0,2020-02-18,0,0
15001,2020-02-19,0,0,2020-02-19,0,0
15001,2020-02-20,0,0,2020-02-20,0,0
15001,2020-02-21,0,0,2020-02-21,0,0
15001,2020-02-22,0,0,2020-02-22,0,0
15001,2020-02-23,0,0,2020-02-23,0,0
15001,2020-02-24,0,0,2020-02-24,0,0
15001,2020-02-25,0,0,2020-02-25,0,0
15001,2020-02-26,0,0,2020-02-26,0,0
15001,2020-02-27,0,0,2020-02-27,0,0
15001,2020-02-28,0,0,2020-02-28,0,0
15001,2020-02-29,0,0,2020-02-29,0,0
15001,2020-03-01,0,0,2020-03-01,0,0
15001,2020-03-02,0,0,2020-03-02,0,0
15001,2020-03-03,0,0,2020-03-03,0,0
15001,2020-03-04,0,0,2020-03-04,0,0
15001,2020-03-05,0,0,2020-03-05,0,0
15001,2020-03-06,0,0,2020-03-06,0,0
15001,2020-03-07,0,0,2020-03-07,0,0
15001,2020-03-08,0,0,2020-03-08,0,0
15001,2020-03-09,0,0,2020-03-09,0,0
15001,2020-03-10,0,0,2020-03-10,0,0
15001,2020-03-11,0,0,2020-03-11,0,0
15001,2020-03-12,0,0,2020-03-12,0,0
15001,2020-03-13,0,0,2020-03-13,0,0
15001,2020-03-14,0,0,2020-03-14,0,0
15001,2020-03-15,0,0,2020-03-15,0,0
15001,2020-03-16,0,0,2020-03-16,0,0
15001,2020-03-17,0,0,2020-03-17,0,0
15001,2020-03-18,0,0,2020-03-18,0,0
15001,2020-03-19,0,0,2020-03-19,0,0
15001,2020-03-20,0,0,2020-03-20,0,0
15001,2020-03-21,0,0,2020-03-21,0,0
15001,2020-03-22,0,0,2020-03-22,0,0
15001,2020-03-23,2,0,2020-03-23,2,0
15001,2020-03-24,2,0,2020-03-24,0,0
15001,2020-03-25,2,0,2020-03-25,0,0
15001,2020-03-26,4,0,2020-03-26,2,0
15001,2020-03-27,5,0,2020-03-27,1,0
15001,2020-03-28,10,0,2020-03-28,5,0
15001,2020-03-29,10,0,2020-03-29,0,0
15001,2020-03-30,12,0,2020-03-30,2,0
15001,2020-03-31,15,0,2020-03-31,3,0
15001,2020-04-01,15,0,2020-04-01,0,0
15001,2020-04-02,18,0,2020-04-02,3,0
15001,2020-04-03,20,0,2020-04-03,2,0
15001,2020-04-04,22,0,2020-04-04,2,0
15001,2020-04-05,22,0,2020-04-05,0,0
15001,2020-04-06,23,0,2020-04-06,1,0
15001,2020-04-07,23,0,2020-04-07,0,0
15001,2020-04-08,23,0,2020-04-08,0,0
15001,2020-04-09,28,0,2020-04-09,5,0
15001,2020-04-10,28,0,2020-04-10,0,0
15001,2020-04-11,31,0,2020-04-11,3,0
15001,2020-04-12,39,0,2020-04-12,8,0
15001,2020-04-13,40,0,2020-04-13,1,0
15001,2020-04-14,41,0,2020-04-14,1,0
15001,2020-04-15,41,0,2020-04-15,0,0
15001,2020-04-16,41,0,2020-04-16,0,0
15001,2020-04-17,41,0,2020-04-17,0,0
15001,2020-04-18,61,0,2020-04-18,20,0
15001,2020-04-19,62,0,2020-04-19,1,0
15001,2020-04-20,64,0,2020-04-20,2,0
15001,2020-04-21,64,0,2020-04-21,0,0
15001,2020-04-22,67,0,2020-04-22,3,0
15001,2020-04-23,68,0,2020-04-23,1,0
15001,2020-04-24,69,0,2020-04-24,1,0
15001,2020-04-25,69,0,2020-04-25,0,0
15001,2020-04-26,70,0,2020-04-26,1,0
15003,2020-01-22,0,0,2020-01-22,0,0
15003,2020-01-23,0,0,2020-01-23,0,0
15003,2020-01-24,0,0,2020-01-24,0,0
15003,2020-01-25,0,0,2020-01-25,0,0
15003,2020-01-26,0,0,2020-01-26,0,0
15003,2020-01-27,0,0,2020-01-27,0,0
15003,2020-01-28,0,0,2020-01-28,0,0
15003,2020-01-29,0,0,2020-01-29,0,0
15003,2020-01-30,0,0,2020-01-30,0,0
15003,2020-01-31,0,0,2020-01-31,0,0
15003,2020-02-01,0,0,2020-02-01,0,0
15003,2020-02-02,0,0,2020-02-02,0,0
15003,2020-02-03,0,0,2020-02-03,0,0
15003,2020-02-04,0,0,2020-02-04,0,0
15003,2020-02-05,0,0,2020-02-05,0,0
15003,2020-02-06,0,0,2020-02-06,0,0
15003,2020-02-07,0,0,2020-02-07,0,0
15003,2020-02-08,0,0,2020-02-08,0,0
15003,2020-02-09,0,0,2020-02-09,0,0
15003,2020-02-10,0,0,2020-02-10,0,0
15003,2020-02-11,0,0,2020-02-11,0,0
15003,2020-02-12,0,0,2020-02-12,0,0
15003,2020-02-13,0,0,2020-02-13,0,0
15003,2020-02-14,0,0,2020-02-14,0,0
15003,2020-02-15,0,0,2020-02-15,0,0
15003,2020-02-16,0,0,2020-02-16,0,0
15003,2020-02-17,0,0,2020-02-17,0,0
15003,2020-02-18,0,0,2020-02-18,0,0
15003,2020-02-19,0,0,2020-02-19,0,0
15003,2020-02-20,0,0,2020-02-20,0,0
15003,2020-02-21,0,0,2020-02-21,0,0
15003,2020-02-22,0,0,2020-02-22,0,0
15003,2020-02-23,0,0,2020-02-23,0,0
15003,2020-02-24,0,0,2020-02-24,0,0
15003,2020-02-25,0,0,2020-02-25,0,0
15003,2020-02-26,0,0,2020-02-26,0,0
15003,2020-02-27,0,0,2020-02-27,0,0
15003,2020-02-28,0,0,2020-02-28,0,0
15003,2020-02-29,0,0,2020-02-29,0,0
15003,2020-03-01,0,0,2020-03-01,0,0
15003,2020-03-02,0,0,2020-03-02,0,0
15003,2020-03-03,0,0,2020-03-03,0,0
15003,2020-03-04,0,0,2020-03-04,0,0
15003,2020-03-05,0,0,2020-03-05,0,0
15003,2020-03-06,0,0,2020-03-06,0,0
15003,2020-03-07,1,0,2020-03-07,1,0
15003,2020-03-08,1,0,2020-03-08,0,0
15003,2020-03-09,1,0,2020-03-09,0,0
15003,2020-03-10,2,0,2020-03-10,1,0
15003,2020-03-11,2,0,2020-03-11,0,0
15003,2020-03-12,2,0,2020-03-12,0,0
15003,2020-03-13,2,0,2020-03-13,0,0
15003,2020-03-14,2,0,2020-03-14,0,0
15003,2020-03-15,3,0,2020-03-15,1,0
15003,2020-03-16,5,0,2020-03-16,2,0
15003,2020-03-17,6,0,2020-03-17,1,0
15003,2020-03-18,10,0,2020-03-18,4,0
15003,2020-03-19,10,0,2020-03-19,0,0
15003,2020-03-20,28,0,2020-03-20,18,0
15003,2020-03-21,28,0,2020-03-21,0,0
15003,2020-03-22,41,0,2020-03-22,13,0
15003,2020-03-23,41,0,2020-03-23,0,0
15003,2020-03-24,58,0,2020-03-24,17,0
15003,2020-03-25,58,0,2020-03-25,0,0
15003,2020-03-26,68,0,2020-03-26,10,0
15003,2020-03-27,76,0,2020-03-27,8,0
15003,2020-03-28,108,0,2020-03-28,32,0
15003,2020-03-29,108,0,2020-03-29,0,0
15003,2020-03-30,123,0,2020-03-30,15,0
15003,2020-03-31,139,0,2020-03-31,16,0
15003,2020-04-01,157,0,2020-04-01,18,0
15003,2020-04-02,182,1,2020-04-02,25,1
15003,2020-04-03,237,3,2020-04-03,55,2
15003,2020-04-04,266,3,2020-04-04,29,0
15003,2020-04-05,281,4,2020-04-05,15,1
15003,2020-04-06,292,4,2020-04-06,11,0
15003,2020-04-07,312,4,2020-04-07,20,0
15003,2020-04-08,312,4,2020-04-08,0,0
15003,2020-04-09,334,4,2020-04-09,22,0
15003,2020-04-10,334,4,2020-04-10,0,0
15003,2020-04-11,343,5,2020-04-11,9,1
15003,2020-04-12,350,6,2020-04-12,7,1
15003,2020-04-13,352,6,2020-04-13,2,0
15003,2020-04-14,358,6,2020-04-14,6,0
15003,2020-04-15,369,6,2020-04-15,11,0
15003,2020-04-16,369,6,2020-04-16,0,0
15003,2020-04-17,373,6,2020-04-17,4,0
15003,2020-04-18,382,6,2020-04-18,9,0
15003,2020-04-19,385,6,2020-04-19,3,0
15003,2020-04-20,385,6,2020-04-20,0,0
15003,2020-04-21,385,6,2020-04-21,0,0
15003,2020-04-22,388,7,2020-04-22,3,1
15003,2020-04-23,389,7,2020-04-23,1,0
15003,2020-04-24,392,8,2020-04-24,3,1
15003,2020-04-25,395,8,2020-04-25,3,0
15003,2020-04-26,396,9,2020-04-26,1,1
15005,2020-01-22,0,0,2020-01-22,0,0
15005,2020-01-23,0,0,2020-01-23,0,0
15005,2020-01-24,0,0,2020-01-24,0,0
15005,2020-01-25,0,0,2020-01-25,0,0
15005,2020-01-26,0,0,2020-01-26,0,0
15005,2020-01-27,0,0,2020-01-27,0,0
15005,2020-01-28,0,0,2020-01-28,0,0
15005,2020-01-29,0,0,2020-01-29,0,0
15005,2020-01-30,0,0,2020-01-30,0,0
15005,2020-01-31,0,0,2020-01-31,0,0
15005,2020-02-01,0,0,2020-02-01,0,0
15005,2020-02-02,0,0,2020-02-02,0,0
15005,2020-02-03,0,0,2020-02-03,0,0
15005,2020-02-04,0,0,2020-02-04,0,0
15005,2020-02-05,0,0,2020-02-05,0,0
15005,2020-02-06,0,0,2020-02-06,0,0
15005,2020-02-07,0,0,2020-02-07,0,0
15005,2020-02-08,0,0,2020-02-08,0,0
15005,2020-02-09,0,0,2020-02-09,0,0
15005,2020-02-10,0,0,2020-02-10,0,0
15005,2020-02-11,0,0,2020-02-11,0,0
15005,2020-02-12,0,0,2020-02-12,0,0
15005,2020-02-13,0,0,2020-02-13,0,0
15005,2020-02-14,0,0,2020-02-14,0,0
15005,2020-02-15,0,0,2020-02-15,0,0
15005,2020-02-16,0,0,2020-02-16,0,0
15005,2020-02-17,0,0,2020-02-17,0,0
15005,2020-02-18,0,0,2020-02-18,0,0
15005,2020-02-19,0,0,2020-02-19,0,0
15005,2020-02-20,0,0,2020-02-20,0,0
15005,2020-02-21,0,0,2020-02-21,0,0
15005,2020-02-22,0,0,2020-02-22,0,0
15005,2020-02-23,0,0,2020-02-23,0,0
15005,2020-02-24,0,0,2020-02-24,0,0
15005,2020-02-25,0,0,2020-02-25,0,0
15005,2020-02-26,0,0,2020-02-26,0,0
15005,2020-02-27,0,0,2020-02-27,0,0
15005,2020-02-28,0,0,2020-02-28,0,0
15005,2020-02-29,0,0,2020-02-29,0,0
15005,2020-03-01,0,0,2020-03-01,0,0
15005,2020-03-02,0,0,2020-03-02,0,0
15005,2020-03-03,0,0,2020-03-03,0,0
15005,2020-03-04,0,0,2020-03-04,0,0
15005,2020-03-05,0,0,2020-03-05,0,0
15005,2020-03-06,0,0,2020-03-06,0,0
15005,2020-03-07,0,0,2020-03-07,0,0
15005,2020-03-08,0,0,2020-03-08,0,0
15005,2020-03-09,0,0,2020-03-09,0,0
15005,2020-03-10,0,0,2020-03-10,0,0
15005,2020-03-11,0,0,2020-03-11,0,0
15005,2020-03-12,0,0,2020-03-12,0,0
15005,2020-03-13,0,0,2020-03-13,0,0
15005,2020-03-14,0,0,2020-03-14,0,0
15005,2020-03-15,0,0,2020-03-15,0,0
15005,2020-03-16,0,0,2020-03-16,0,0
15005,2020-03-17,0,0,2020-03-17,0,0
15005,2020-03-18,0,0,2020-03-18,0,0
15005,2020-03-19,0,0,2020-03-19,0,0
15005,2020-03-20,0,0,2020-03-20,0,0
15005,2020-03-21,0,0,2020-03-21,0,0
15005,2020-03-22,0,0,2020-03-22,0,0
15005,2020-03-23,0,0,2020-03-23,0,0
15005,2020-03-24,0,0,2020-03-24,0,0
15005,2020-03-25,0,0,2020-03-25,0,0
15005,2020-03-26,0,0,2020-03-26,0,0
15005,2020-03-27,0,0,2020-03-27,0,0
15005,2020-03-28,0,0,2020-03-28,0,0
15005,2020-03-29,0,0,2020-03-29,0,0
15005,2020-03-30,0,0,2020-03-30,0,0
15005,2020-03-31,0,0,2020-03-31,0,0
15005,2020-04-01,0,0,2020-04-01,0,0
15005,2020-04-02,0,0,2020-04-02,0,0
15005,2020-04-03,0,0,2020-04-03,0,0
15005,2020-04-04,0,0,2020-04-04,0,0
15005,2020-04-05,0,0,2020-04-05,0,0
15005,2020-04-06,0,0,2020-04-06,0,0
15005,2020-04-07,0,0,2020-04-07,0,0
15005,2020-04-08,0,0,2020-04-08,0,0
15005,2020-04-09,0,0,2020-04-09,0,0
15005,2020-04-10,0,0,2020-04-10,0,0
15005,2020-04-11,0,0,2020-04-11,0,0
15005,2020-04-12,0,0,2020-04-12,0,0
15005,2020-04-13,0,0,2020-04-13,0,0
15005,2020-04-14,0,0,2020-04-14,0,0
15005,2020-04-15,0,0,2020-04-15,0,0
15005,2020-04-16,0,0,2020-04-16,0,0
15005,2020-04-17,0,0,2020-04-17,0,0
15005,2020-04-18,0,0,2020-04-18,0,0
15005,2020-04-19,0,0,2020-04-19,0,0
15005,2020-04-20,0,0,2020-04-20,0,0
15005,2020-04-21,0,0,2020-04-21,0,0
15005,2020-04-22,0,0,2020-04-22,0,0
15005,2020-04-23,0,0,2020-04-23,0,0
15005,2020-04-24,0,0,2020-04-24,0,0
15005,2020-04-25,0,0,2020-04-25,0,0
15005,2020-04-26,0,0,2020-04-26,0,0
15007,2020-01-22,0,0,2020-01-22,0,0
15007,2020-01-23,0,0,2020-01-23,0,0
15007,2020-01-24,0,0,2020-01-24,0,0
15007,2020-01-25,0,0,2020-01-25,0,0
15007,2020-01-26,0,0,2020-01-26,0,0
15007,2020-01-27,0,0,2020-01-27,0,0
15007,2020-01-28,0,0,2020-01-28,0,0
15007,2020-01-29,0,0,2020-01-29,0,0
15007,2020-01-30,0,0,2020-01-30,0,0
15007,2020-01-31,0,0,2020-01-31,0,0
15007,2020-02-01,0,0,2020-02-01,0,0
15007,2020-02-02,0,0,2020-02-02,0,0
15007,2020-02-03,0,0,2020-02-03,0,0
15007,2020-02-04,0,0,2020-02-04,0,0
15007,2020-02-05,0,0,2020-02-05,0,0
15007,2020-02-06,0,0,2020-02-06,0,0
15007,2020-02-07,0,0,2020-02-07,0,0
15007,2020-02-08,0,0,2020-02-08,0,0
15007,2020-02-09,0,0,2020-02-09,0,0
15007,2020-02-10,0,0,2020-02-10,0,0
15007,2020-02-11,0,0,2020-02-11,0,0
15007,2020-02-12,0,0,2020-02-12,0,0
15007,2020-02-13,0,0,2020-02-13,0,0
15007,2020-02-14,0,0,2020-02-14,0,0
15007,2020-02-15,0,0,2020-02-15,0,0
15007,2020-02-16,0,0,2020-02-16,0,0
15007,2020-02-17,0,0,2020-02-17,0,0
15007,2020-02-18,0,0,2020-02-18,0,0
15007,2020-02-19,0,0,2020-02-19,0,0
15007,2020-02-20,0,0,2020-02-20,0,0
15007,2020-02-21,0,0,2020-02-21,0,0
15007,2020-02-22,0,0,2020-02-22,0,0
15007,2020-02-23,0,0,2020-02-23,0,0
15007,2020-02-24,0,0,2020-02-24,0,0
15007,2020-02-25,0,0,2020-02-25,0,0
15007,2020-02-26,0,0,2020-02-26,0,0
15007,2020-02-27,0,0,2020-02-27,0,0
15007,2020-02-28,0,0,2020-02-28,0,0
15007,2020-02-29,0,0,2020-02-29,0,0
15007,2020-03-01,0,0,2020-03-01,0,0
15007,2020-03-02,0,0,2020-03-02,0,0
15007,2020-03-03,0,0,2020-03-03,0,0
15007,2020-03-04,0,0,2020-03-04,0,0
15007,2020-03-05,0,0,2020-03-05,0,0
15007,2020-03-06,0,0,2020-03-06,0,0
15007,2020-03-07,0,0,2020-03-07,0,0
15007,2020-03-08,0,0,2020-03-08,0,0
15007,2020-03-09,0,0,2020-03-09,0,0
15007,2020-03-10,0,0,2020-03-10,0,0
15007,2020-03-11,0,0,2020-03-11,0,0
15007,2020-03-12,0,0,2020-03-12,0,0
15007,2020-03-13,0,0,2020-03-13,0,0
15007,2020-03-14,1,0,2020-03-14,1,0
15007,2020-03-15,1,0,2020-03-15,0,0
15007,2020-03-16,1,0,2020-03-16,0,0
15007,2020-03-17,1,0,2020-03-17,0,0
15007,2020-03-18,1,0,2020-03-18,0,0
15007,2020-03-19,1,0,2020-03-19,0,0
15007,2020-03-20,1,0,2020-03-20,0,0
15007,2020-03-21,1,0,2020-03-21,0,0
15007,2020-03-22,1,0,2020-03-22,0,0
15007,2020-03-23,1,0,2020-03-23,0,0
15007,2020-03-24,1,0,2020-03-24,0,0
15007,2020-03-25,1,0,2020-03-25,0,0
15007,2020-03-26,2,0,2020-03-26,1,0
15007,2020-03-27,5,0,2020-03-27,3,0
15007,2020-03-28,11,0,2020-03-28,6,0
15007,2020-03-29,11,0,2020-03-29,0,0
15007,2020-03-30,12,0,2020-03-30,1,0
15007,2020-03-31,12,0,2020-03-31,0,0
15007,2020-04-01,12,0,2020-04-01,0,0
15007,2020-04-02,12,0,2020-04-02,0,0
15007,2020-04-03,13,0,2020-04-03,1,0
15007,2020-04-04,15,0,2020-04-04,2,0
15007,2020-04-05,16,0,2020-04-05,1,0
15007,2020-04-06,17,0,2020-04-06,1,0
15007,2020-04-07,18,0,2020-04-07,1,0
15007,2020-04-08,18,0,2020-04-08,0,0
15007,2020-04-09,18,0,2020-04-09,0,0
15007,2020-04-10,18,0,2020-04-10,0,0
15007,2020-04-11,19,0,2020-04-11,1,0
15007,2020-04-12,21,0,2020-04-12,2,0
15007,2020-04-13,21,0,2020-04-13,0,0
15007,2020-04-14,21,0,2020-04-14,0,0
15007,2020-04-15,21,0,2020-04-15,0,0
15007,2020-04-16,21,0,2020-04-16,0,0
15007,2020-04-17,21,0,2020-04-17,0,0
15007,2020-04-18,21,0,2020-04-18,0,0
15007,2020-04-19,21,0,2020-04-19,0,0
15007,2020-04-20,21,0,2020-04-20,0,0
15007,2020-04-21,21,0,2020-04-21,0,0
15007,2020-04-22,21,0,2020-04-22,0,0
15007,2020-04-23,21,0,2020-04-23,0,0
15007,2020-04-24,21,0,2020-04-24,0,0
15007,2020-04-25,21,0,2020-04-25,0,0
15007,2020-04-26,21,0,2020-04-26,0,0
15009,2020-01-22,0,0,2020-01-22,0,0
15009,2020-01-23,0,0,2020-01-23,0,0
15009,2020-01-24,0,0,2020-01-24,0,0
15009,2020-01-25,0,0,2020-01-25,0,0
15009,2020-01-26,0,0,2020-01-26,0,0
15009,2020-01-27,0,0,2020-01-27,0,0
15009,2020-01-28,0,0,2020-01-28,0,0
15009,2020-01-29,0,0,2020-01-29,0,0
15009,2020-01-30,0,0,2020-01-30,0,0
15009,2020-01-31,0,0,2020-01-31,0,0
15009,2020-02-01,0,0,2020-02-01,0,0
15009,2020-02-02,0,0,2020-02-02,0,0
15009,2020-02-03,0,0,2020-02-03,0,0
15009,2020-02-04,0,0,2020-02-04,0,0
15009,2020-02-05,0,0,2020-02-05,0,0
15009,2020-02-06,0,0,2020-02-06,0,0
15009,2020-02-07,0,0,2020-02-07,0,0
15009,2020-02-08,0,0,2020-02-08,0,0
15009,2020-02-09,0,0,2020-02-09,0,0
15009,2020-02-10,0,0,2020-02-10,0,0
15009,2020-02-11,0,0,2020-02-11,0,0
15009,2020-02-12,0,0,2020-02-12,0,0
15009,2020-02-13,0,0,2020-02-13,0,0
15009,2020-02-14,0,0,2020-02-14,0,0
15009,2020-02-15,0,0,2020-02-15,0,0
15009,2020-02-16,0,0,2020-02-16,0,0
15009,2020-02-17,0,0,2020-02-17,0,0
15009,2020-02-18,0,0,2020-02-18,0,0
15009,2020-02-19,0,0,2020-02-19,0,0
15009,2020-02-20,0,0,2020-02-20,0,0
15009,2020-02-21,0,0,2020-02-21,0,0
15009,2020-02-22,0,0,2020-02-22,0,0
15009,2020-02-23,0,0,2020-02-23,0,0
15009,2020-02-24,0,0,2020-02-24,0,0
15009,2020-02-25,0,0,2020-02-25,0,0
15009,2020-02-26,0,0,2020-02-26,0,0
15009,2020-02-27,0,0,2020-02-27,0,0
15009,2020-02-28,0,0,2020-02-28,0,0
15009,2020-02-29,0,0,2020-02-29,0,0
15009,2020-03-01,0,0,2020-03-01,0,0
15009,2020-03-02,0,0,2020-03-02,0,0
15009,2020-03-03,0,0,2020-03-03,0,0
15009,2020-03-04,0,0,2020-03-04,0,0
15009,2020-03-05,0,0,2020-03-05,0,0
15009,2020-03-06,0,0,2020-03-06,0,0
15009,2020-03-07,0,0,2020-03-07,0,0
15009,2020-03-08,0,0,2020-03-08,0,0
15009,2020-03-09,0,0,2020-03-09,0,0
15009,2020-03-10,0,0,2020-03-10,0,0
15009,2020-03-11,0,0,2020-03-11,0,0
15009,2020-03-12,0,0,2020-03-12,0,0
15009,2020-03-13,0,0,2020-03-13,0,0
15009,2020-03-14,0,0,2020-03-14,0,0
15009,2020-03-15,1,0,2020-03-15,1,0
15009,2020-03-16,1,0,2020-03-16,0,0
15009,2020-03-17,2,0,2020-03-17,1,0
15009,2020-03-18,3,0,2020-03-18,1,0
15009,2020-03-19,3,0,2020-03-19,0,0
15009,2020-03-20,5,0,2020-03-20,2,0
15009,2020-03-21,5,0,2020-03-21,0,0
15009,2020-03-22,9,0,2020-03-22,4,0
15009,2020-03-23,9,0,2020-03-23,0,0
15009,2020-03-24,9,0,2020-03-24,0,0
15009,2020-03-25,9,0,2020-03-25,0,0
15009,2020-03-26,13,0,2020-03-26,4,0
15009,2020-03-27,14,0,2020-03-27,1,0
15009,2020-03-28,16,0,2020-03-28,2,0
15009,2020-03-29,16,0,2020-03-29,0,0
15009,2020-03-30,20,0,2020-03-30,4,0
15009,2020-03-31,25,0,2020-03-31,5,0
15009,2020-04-01,25,0,2020-04-01,0,0
15009,2020-04-02,26,0,2020-04-02,1,0
15009,2020-04-03,36,0,2020-04-03,10,0
15009,2020-04-04,38,0,2020-04-04,2,0
15009,2020-04-05,43,0,2020-04-05,5,0
15009,2020-04-06,44,1,2020-04-06,1,1
15009,2020-04-07,48,1,2020-04-07,4,0
15009,2020-04-08,48,1,2020-04-08,0,0
15009,2020-04-09,57,1,2020-04-09,9,0
15009,2020-04-10,57,1,2020-04-10,0,0
15009,2020-04-11,66,3,2020-04-11,9,2
15009,2020-04-12,84,3,2020-04-12,18,0
15009,2020-04-13,86,3,2020-04-13,2,0
15009,2020-04-14,88,3,2020-04-14,2,0
15009,2020-04-15,92,3,2020-04-15,4,0
15009,2020-04-16,92,3,2020-04-16,0,0
15009,2020-04-17,95,3,2020-04-17,3,0
15009,2020-04-18,104,3,2020-04-18,9,0
15009,2020-04-19,106,4,2020-04-19,2,1
15009,2020-04-20,108,4,2020-04-20,2,0
15009,2020-04-21,110,4,2020-04-21,2,0
15009,2020-04-22,110,5,2020-04-22,0,1
15009,2020-04-23,112,5,2020-04-23,2,0
15009,2020-04-24,113,5,2020-04-24,1,0
15009,2020-04-25,113,5,2020-04-25,0,0
15009,2020-04-26,113,5,2020-04-26,0,0
